"","gene","log2FoldChange","padj","pvalue","baseMean","stat"
"AC005523.2","AC005523.2",3.83148061854005,6.95848300638686e-118,2.02116968931883e-122,1903.46630901334,23.5298044020353
"FEM1A","FEM1A",3.68594517874016,4.28095003307833e-100,2.4869002167296e-104,547.179605210704,21.6911503945823
"GOT1","GOT1",2.98820330760904,6.28551965540516e-91,5.477099734581e-95,858.069089427904,20.6779025000325
"PFKM","PFKM",4.16456359315989,1.9573862681403e-82,2.27417946803799e-86,2265.33862275686,19.6973025869955
"TMEM182","TMEM182",4.07790083605135,1.1671424538322e-76,1.69504829474876e-80,245.625107782855,19.0003209403879
"LRRC20","LRRC20",4.0820045092022,6.1490398152023e-76,1.07163468372295e-79,541.117464564904,18.9032870558518
"DYRK1B","DYRK1B",2.82742297040855,1.19062370337055e-74,2.42081036470137e-78,949.154297634535,18.7381085575803
"ADPRHL1","ADPRHL1",5.73659129164285,1.48872223539288e-73,3.45932900056437e-77,456.707958597345,18.596040780014
"SLC25A12","SLC25A12",2.29213724285952,2.0602811998629e-71,5.38588671975313e-75,869.85837092547,18.3233825534686
"C19orf47","C19orf47",2.07196961245695,4.08012667547585e-69,1.18511870439057e-72,537.065921811194,18.0275089706951
"SLC25A4","SLC25A4",5.28881832043794,2.25622778210681e-68,7.20881422190511e-72,1820.04320529273,17.9273876321319
"AGL","AGL",3.35924598540043,6.58345410386816e-67,2.29468598949744e-70,1309.81634345851,17.7339186413989
"PPP2R3B","PPP2R3B",3.25498189700382,4.91752702388328e-66,1.85685637592897e-69,313.282023476304,17.6159978870644
"CYB5R1","CYB5R1",2.08525399430184,5.40804213205457e-65,2.51332270573002e-68,2393.03913805257,17.4679575355739
"FXR1","FXR1",1.95183389233832,5.40804213205457e-65,2.40991327131148e-68,3721.45197199637,17.4703548213913
"GOT2","GOT2",2.20778088486085,5.40804213205457e-65,2.49869871981609e-68,1898.15328122917,17.4682905215893
"GAMT","GAMT",4.63172179402109,1.98643413226487e-64,9.80869648207934e-68,1158.4715357712,17.390085997256
"DNAJB6","DNAJB6",1.28359993772745,2.00663629138363e-63,1.04913016280078e-66,4989.0320606901,17.2537244625857
"DNAJA4","DNAJA4",3.12597485385337,3.9240468035711e-63,2.16558874369266e-66,723.100761549853,17.2118092740835
"CIPC","CIPC",2.36338734143157,8.49153110897027e-63,4.93292152258061e-66,668.893703412348,17.1640734609895
"PKIA","PKIA",6.54566226979167,8.93728722877109e-63,5.45146484850101e-66,674.546741906133,17.158268673773
"TMEM38A","TMEM38A",6.13588934620511,3.80349552311737e-62,2.43048976149013e-65,586.027548096067,17.0712243382449
"NEURL1","NEURL1",4.94644397506194,1.14720969101555e-61,7.66405916502781e-65,137.89203738646,17.0040475985769
"BIN1","BIN1",3.76243627227242,1.23587882509566e-61,8.61539787449047e-65,3921.66275847118,16.9971885199137
"SLC29A2","SLC29A2",4.37282382991701,7.06139184169158e-61,5.12765179627889e-64,100.236457730403,16.8922867239761
"MAP6D1","MAP6D1",2.79045749026364,2.77923053775728e-60,2.09887283553181e-63,60.4675466895343,16.8089410474405
"COQ10A","COQ10A",3.42496372587761,2.8641872676357e-60,2.2462256368701e-63,276.062658851711,16.804918113872
"TRAP1","TRAP1",1.57706136174751,3.48114217133295e-59,2.83118336230169e-62,1748.70863926635,16.6539825093765
"FHL3","FHL3",3.86959309970858,4.10829714398748e-59,3.46057328847557e-62,1670.45728801183,16.6419676602919
"ART3","ART3",6.13663951287861,7.38846153767998e-59,6.65279155536422e-62,75.4161181323456,16.6027878269493
"HINT3","HINT3",1.83740754904688,7.38846153767998e-59,6.60239515879435e-62,1186.16937661343,16.6032441761614
"DCAF6","DCAF6",2.36971260831732,1.95074790367449e-58,1.81317337392773e-61,3058.88889687369,16.5425068281454
"RPUSD4","RPUSD4",1.78522160373243,2.01023149482787e-58,1.92685138054257e-61,857.634160121237,16.5388438071495
"CUL3","CUL3",1.10624946935484,3.12005189343838e-58,3.08126421450287e-61,2400.37823777144,16.5105375547472
"PACSIN3","PACSIN3",4.70392092243532,3.62611636792079e-58,3.68636205638515e-61,546.554225559578,16.4997137020676
"TTN-AS1","TTN-AS1",4.76716503538924,8.85246977346594e-57,9.25667804823905e-60,382.360182822841,16.3039158751882
"NRDC","NRDC",1.46683384076765,1.14654344293532e-56,1.23219784444657e-59,4350.50369196009,16.2864276268835
"L2HGDH","L2HGDH",1.93867561138479,2.58472833149864e-56,2.85290102814419e-59,210.322563684552,16.2349909299873
"CACNB1","CACNB1",4.77066050034923,1.35666844675706e-55,1.53683250329747e-58,458.274057041636,16.1313267123756
"USP13","USP13",3.52667575355735,1.60445106021315e-55,1.8641234578984e-58,968.261424885733,16.1193993293414
"SEMA6C","SEMA6C",4.53856058131362,6.41056739773824e-54,7.63428788507226e-57,809.497013382147,15.8883228808532
"TXLNB","TXLNB",5.27763055068332,7.16425480459191e-54,8.73994137890264e-57,496.676252538024,15.8798411823725
"BEST3","BEST3",5.96983459935229,9.04592059095905e-54,1.14805265131791e-56,33.7461193404154,15.8627235585745
"PPP2R3A","PPP2R3A",3.270148871461,9.04592059095905e-54,1.15609534681712e-56,867.910846383865,15.8622851873061
"MACROD1","MACROD1",3.39789409718522,1.52812531387905e-53,1.99737536669447e-56,634.900778889463,15.8279128286094
"ASB12","ASB12",6.30048714568488,2.65212543565424e-53,3.54356250842613e-56,29.5722501433525,15.7917940921848
